id,name,latitude,longitude,neighborhood,room_type,price,availability_365,number_of_reviews,reviews_per_month,review_scores_rating
755019082851354363,"4 br/3ba, Great for Large Groups, Garage Parking",41.90064,-87.69738,West Town,Entire home/apt,217.0,332,51,1.51,4.98
755037821878724162,McCormick Place Studio/parking/sleeps up to 4,41.85431,-87.62332,Near South Side,Entire home/apt,144.0,324,117,3.35,4.8
755124493078918445,Modern Izakaya Studio in Wicker Park,41.90194,-87.67159,West Town,Entire home/apt,198.0,343,122,3.62,4.95
755789541680782901,"Luxury Modern, Fast Wi-Fi, POOL, Huge GYM, KingBed",41.9040204,-87.6326926,Near North Side,Entire home/apt,160.0,206,9,0.27,5.0
755870898747172601,"2 br, 2 bt, UChicago Coachman's Guesthouse",41.79394,-87.59033,Hyde Park,Entire home/apt,333.0,228,84,2.88,4.94
755934562888126191,Spacious Townhome 2 Blocks From Southport Corridor,41.94085,-87.65898,Lake View,Entire home/apt,167.0,87,6,0.21,5.0
756569713594312837,"Luxury 2br, Avondale free Garage, Skylights",41.94085,-87.72147,Avondale,Entire home/apt,155.0,95,75,2.28,4.89
756864129367543529,Spacious 3 Level Home with 5 BDR/3 BA & 2 Kitchens,41.73692,-87.55919,South Chicago,Entire home/apt,345.0,318,83,2.41,4.98
757070710390059559,Cozy 2BR Apt | Easy Access from Midway,41.82922530671223,-87.68211382,Mckinley Park,Entire home/apt,131.0,259,64,2.21,4.84
757124927463777871,"Blueground | South Loop, nr L & grant park",41.8676695,-87.6261192,Loop,Entire home/apt,197.0,278,0,,
757256633941807830,Lofted 2nd Floor Apartment with Spiral Staircase,41.92277977211583,-87.6878671,Logan Square,Entire home/apt,129.0,36,212,6.12,4.77
757728403318360160,"Blueground | S Loop, pool & gym nr Grant Park",41.86350729999999,-87.6237509,Near South Side,Entire home/apt,174.0,236,0,,
757855631547862796,My Cozy Casa in Pilsen,41.85539,-87.65377,Lower West Side,Entire home/apt,198.0,334,106,3.47,4.98
757971058903624445,Lovely Bucktown 2-Bedroom Unit with Private Patio,41.9167058,-87.6725663,Logan Square,Entire home/apt,121.0,63,18,0.54,5.0
758072223330776518,Royal Retreat | Queen Comfort + Huge Screen,41.96675521,-87.72105048,Albany Park,Private room,57.0,358,41,1.36,4.73
758081123003767867,"Lake, Beach,Theater,Downtown,Redline, Northwestern",42.0085682,-87.6704349,Rogers Park,Entire home/apt,110.0,358,5,0.15,5.0
758094546115213846,Elegant Stay Chill Vibe | City Center,41.96856540608227,-87.72152033,Albany Park,Private room,56.0,362,47,1.41,4.7
758609536590788728,"Furnished 2B, Convenient, Perfect for Longer Stays",41.948693474706914,-87.73542182,Irving Park,Entire home/apt,130.0,296,0,,
758717518435561349,Avondale Triangle Apartment I Near Wrigley/Transit,41.94051,-87.70798,Avondale,Entire home/apt,142.0,112,111,3.34,4.84
759519262986933792,"West Loop Luxe 2BR: Balcony, Skyline Views",41.8887227,-87.6466284,West Town,Entire home/apt,384.0,285,86,2.5,4.8
759905757307684524,"Blueground | River N, gym, pool, nr Riverwalk",41.890516,-87.635955,Near North Side,Entire home/apt,211.0,304,0,,
759907109454730854,"Blueground | S Loop, pool & gym nr Grant Park",41.86350729999999,-87.6237509,Near South Side,Entire home/apt,171.0,195,1,0.32,5.0
759907391316637197,"Blueground | S Loop, pool & gym nr Grant Park",41.86350729999999,-87.6237509,Near South Side,Entire home/apt,175.0,102,2,0.06,4.5
759909758935173285,"Blueground | S Loop, pool & gym nr Grant Park",41.86350729999999,-87.6237509,Near South Side,Entire home/apt,174.0,38,1,0.03,5.0
760159982210300664,Lincoln Square Retreat,41.96736345433594,-87.69154354,Lincoln Square,Entire home/apt,113.0,321,9,0.65,4.78
760348409256483116,A Hand-some Place Near Wrigley,41.962037,-87.6670071,Uptown,Entire home/apt,89.0,319,126,3.75,4.94
760854585897769463,MasterRoom/PrivateBathroom.3 Blocks from BlueLine.,41.93416,-87.71059,Avondale,Private room,60.0,332,7,0.21,5.0
760985260337363062,Spacious 1BR Garden Apt & Parking,41.7946456,-87.5930904,Hyde Park,Entire home/apt,121.0,28,121,3.52,4.93
761033002793394902,Airy Loft in Heart of Chicago,41.90813,-87.63028,Near North Side,Entire home/apt,236.0,362,0,,
761071522423068825,Gorgeous 2-bedroom Condo in Chicago,42.01011,-87.67391,Rogers Park,Entire home/apt,119.0,26,6,0.21,4.0
761559137835061640,Chicago Jefferson Park Penthouse near train stop!,41.97146,-87.76541,Jefferson Park,Entire home/apt,152.0,215,65,2.07,4.62
762097694224726347,"Blueground | Loop, gym & lounge, nr Riverwalk",41.8860812,-87.6342223,Loop,Entire home/apt,168.0,188,2,0.08,5.0
762190630064709336,Relaxing Wicker Park Garden Unit,41.91021,-87.68584,West Town,Entire home/apt,109.0,321,8,0.27,5.0
762352511071081007,Vibrant 3BR Chicago Apt. near U of Chicago,41.7971432675832,-87.62304502,Washington Park,Entire home/apt,137.0,222,74,2.55,4.84
762808858713908103,"Blueground | West Loop, w/d, gym & lounge, nr L",41.885209,-87.6471114,Near West Side,Entire home/apt,217.0,335,0,,
763829472178132757,Newly Renovated,41.70283,-87.60201,Pullman,Entire home/apt,38.0,270,0,,
763887328758676705,Modern 1-Bedroom w/ off-street parking space,41.93396,-87.72085,Avondale,Entire home/apt,134.0,343,106,3.21,4.94
764576255652833213,Perfect Wicker Park Stay,41.91129590041312,-87.67747759,West Town,Entire home/apt,181.0,292,10,0.39,5.0
764599477754096242,2BD/1 BA with summer patio in quiet Roscoe Village,41.93889394124207,-87.67093996,Lake View,Entire home/apt,109.0,288,132,4.53,4.96
764834629776020980,H4. Near Chinatown & Downtown - 2min Walk to CTA,41.84607,-87.64722,Bridgeport,Private room,35.0,351,103,3.0,4.5
764999315145981520,"Blueground | S Loop, pool, bbq & gym, nr park",41.8670646,-87.6231114,Near South Side,Entire home/apt,194.0,246,0,,
765378899319829745,Logan Square Gem,41.92942156950349,-87.72458027,Logan Square,Entire home/apt,120.0,360,19,0.62,4.74
765477129323682949,Spacious 2BR in Chicago Near McCormick | Sleeps 8,41.85542,-87.62539,Near South Side,Entire home/apt,195.0,339,72,2.09,4.79
765716553214035947,"Blueground | Near North, doorman & gym, nr I-90",41.9029299,-87.6441632,Near North Side,Entire home/apt,212.0,312,0,,
765858270291974118,Cozy Jefferson Park 2BR Apt,41.96257,-87.77756,Portage Park,Entire home/apt,92.0,229,108,3.25,4.94
